"id","repository","sha","message","date","insertions","deletions","files_changed","in_main_branch","merge","dmm_unit_size","dmm_unit_complexity","dmm_unit_interfacing","time_mined","author_id","committer_id"
"40","aisepucrio/stnl-dataminer-api","49c0ce05c15f695e5b8bb69a26a38ce262d16316","test ok usage.py","2024-09-04 20:24:16+00",12300,10,20,True,False,"1","1","0.22","2025-03-24 14:07:32.983114+00","6","6"
"41","aisepucrio/stnl-dataminer-api","ae9e84e0c15638580da0557a455d865f7371879c","Adicionando as urls referenteS ao Jira.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-09 12:42:45+00",6,5,2,True,False,NULL,NULL,NULL,"2025-03-24 14:07:34.234018+00","5","5"
"42","aisepucrio/stnl-dataminer-api","c6a65e42dcde47682bbd9815cd47f26b0c729b24","feat: Adição de paginação para que seja possível coletar mais de 100 issues de uma vez.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-09 12:46:50+00",58,35,1,True,False,"0","0.21428571428571427","0","2025-03-24 14:07:34.459553+00","5","5"
"43","aisepucrio/stnl-dataminer-api","a12c34aae14aa34e5cb1e066dc2b89c0c2eea0a3","improv: Implementando recebimento dos tipos de issues a serem coletados na view.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-09 12:48:55+00",10,7,1,True,False,"1","1","0","2025-03-24 14:07:34.663449+00","5","5"
"44","aisepucrio/stnl-dataminer-api","f6a6df4504ed0d8f310fc5b142512e9144264838","improv: Alteração do modelo referente aos Issuetypes.

JIRA: [CSTONE-271][CSTONE-289]","2024-09-10 20:25:28+00",5,5,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:34.868804+00","5","5"
"45","aisepucrio/stnl-dataminer-api","162c1aed3ab754324977dca86fd15910cc9592d0","improv: Correção de problemas na view mineração de issuetypes.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-10 20:27:26+00",5,11,1,True,False,"0","0","1","2025-03-24 14:07:35.008767+00","5","5"
"46","aisepucrio/stnl-dataminer-api","371117e28db6731292e6c84dd4eb36797f2346a8","Modificações docker","2024-09-10 20:28:36+00",37,38,4,True,False,NULL,NULL,NULL,"2025-03-24 14:07:35.143285+00","7","7"
"47","aisepucrio/stnl-dataminer-api","728a4b07bd25317a47d9c3ad5e8444656b62f64b","improv: Adição do tratamento para não coletar issuetypes duplicados.

JIRA: [CSTONE-271][CSTONE-294]","2024-09-10 20:36:12+00",43,22,1,True,False,"0","0","0","2025-03-24 14:07:35.301998+00","5","5"
"48","aisepucrio/stnl-dataminer-api","441940226e00d969c73728e1dc0ce3a769189e05","feat: Refatoração do Rust

 JIRA: [CSTONE-271][CSTONE-286]","2024-09-11 20:14:48+00",1,0,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:35.450612+00","3","3"
"49","aisepucrio/stnl-dataminer-api","bf934f33960aaed6713150054b06d2234ef46e36","feat: Refatoração do Rust

 JIRA: [CSTONE-271][CSTONE-286]","2024-09-11 20:14:59+00",1,1,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:35.585535+00","3","3"
"50","aisepucrio/stnl-dataminer-api","ebf6989d7234cbb666577b1ecfa2eef73f7d9bf6","feat: Adicionando serializer para os issuetypes.

JIRA: [CSTONE-319][CSTONE-331]","2024-09-18 16:48:05+00",6,1,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:35.703854+00","5","5"
"51","aisepucrio/stnl-dataminer-api","bf2fd9b28639d0a98a4bfb72c88ac5d41074384b","feat: Criação das views relacionadas à coleta, consulta e deleção de issuetypes.

JIRA: [CSTONE-319][CSTONE-331]","2024-09-18 16:51:00+00",38,20,1,True,False,"1","1","0","2025-03-24 14:07:35.83942+00","5","5"
"52","aisepucrio/stnl-dataminer-api","ab47ba95d568701200771724e7674a0e6b83c76c","feat: Criação das urls relacionadas à coleta, consulta e deleção de issuetypes.

JIRA: [CSTONE-319][CSTONE-331]","2024-09-18 16:51:58+00",7,4,1,True,False,NULL,NULL,NULL,"2025-03-24 14:07:35.997386+00","5","5"
"53","aisepucrio/stnl-dataminer-api","df0abd7dcd8a420201174f7ec9fb478c3f9afc19","Merge branch 'dev-breno-diogo' into development","2024-09-19 19:08:14+00",14074,69,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:36.134073+00","6","6"
"54","aisepucrio/stnl-dataminer-api","928cf87dc42e4c75e84ab9160740555012e12915","Merge branch 'development' of https://github.com/aisepucrio/stnl-dataminer-api into development","2024-09-19 19:09:12+00",585,252,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:36.207238+00","6","6"
"55","aisepucrio/stnl-dataminer-api","b07387aa9cc6555845cf2a421d6688d783201b64","Merge branch 'dev-gabriel' into development","2024-09-19 19:30:45+00",272,5,0,True,True,NULL,NULL,NULL,"2025-03-24 14:07:36.271107+00","6","6"
